,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
106,1000.0,6,350,3000,6,True,0.2509071167839481,0.4571170021198305,6,6,[2.63098357 1.91116243] [2.92835161 3.49468081] [0.34586353 0.17691101] [1.49587159 2.2038345 ] [1.58908701 4.35330699] [1.31468202 0.50286656],[0.18271557 0.09021228 0.0455985  0.14934037 0.31757851 0.21455478],[[ 0.98150083 -0.09959416]  [-0.09959416  0.63185333]] [[1.04156836 0.63538364]  [0.63538364 0.88053827]] [[1.20583558 0.89326023]  [0.89326023 1.80329861]] [[ 0.21656315 -0.07161539]  [-0.07161539  3.41046078]] [[1.41105349 0.63912073]  [0.63912073 1.02176959]] [[ 1.3757328  -0.27354189]  [-0.27354189  0.72964607]],6,"{0: 250, 1: 88, 2: 22, 3: 148, 4: 514, 5: 378}",3,1,2
107,1000.0,7,350,3000,6,True,0.2268232249148636,0.3559537355295115,5,5,[2.09139355 0.69313751] [2.51227102 4.44528684] [1.31766747 1.99053359] [0.8342997 1.1175537] [2.13378815 3.45840979],[0.26515    0.25312148 0.16300111 0.1272123  0.19075182 0.00076328],[[1.24021411 0.54035329]  [0.54035329 0.95979084]] [[1.12914722 0.2219943 ]  [0.2219943  0.96917109]] [[ 0.75033855 -0.85354384]  [-0.85354384  1.6155266 ]] [[ 1.12075613 -0.31902244]  [-0.31902244  1.89500707]] [[ 0.74227592 -0.60090516]  [-0.60090516  0.99074517]],5,"{0: 488, 1: 278, 2: 220, 3: 78, 4: 336, 5: 0}",1,0,1
108,1000.0,8,350,3000,6,True,0.20978159203231228,0.35919778727687623,5,5,[1.2892145 2.4255177] [2.38230795 0.87232168] [1.69372614 4.50610809] [0.9007468  0.37494053] [3.3917115  4.01376033],[0.22605891 0.22506449 0.3385551  0.14414516 0.00076385 0.06541249],[[1.24273758 0.30898216]  [0.30898216 0.56790194]] [[1.02747465 0.39466929]  [0.39466929 1.24598132]] [[1.10654484 0.23914517]  [0.23914517 1.04368159]] [[0.95908547 0.63234011]  [0.63234011 1.22837095]] [[0.72380873 0.61373209]  [0.61373209 2.31951465]],5,"{0: 376, 1: 300, 2: 476, 3: 186, 4: 0, 5: 62}",2,1,1
109,1000.0,9,350,3000,6,True,0.2271147597121783,0.6171826216933518,5,5,[4.32152372 2.16377852] [2.63531188 1.03730435] [1.70589824 4.00935699] [ 1.24611929 -0.01332889] [1.68875209 1.58717488],[0.00939317 0.09782621 0.52103907 0.16697589 0.00076542 0.20400023],[[2.87622863 0.38708125]  [0.38708125 2.6042811 ]] [[ 0.27765841 -0.10072606]  [-0.10072606  0.77367441]] [[1.31320049 0.44482582]  [0.44482582 1.60505976]] [[0.50628917 0.01446303]  [0.01446303 1.14288373]] [[1.46183558 0.62552698]  [0.62552698 0.75017794]],5,"{0: 6, 1: 126, 2: 726, 3: 202, 4: 0, 5: 340}",2,0,1
110,1000.0,10,350,3000,6,True,0.280079663052581,0.5857394145900161,5,5,[1.0201732  1.98277489] [3.29733523 4.48213   ] [1.98424313 0.65712361] [1.66570458 4.09264728] [3.16022903 3.15381382],[0.10607969 0.04619234 0.34397204 0.4094868  0.00076468 0.09350445],[[ 0.67247298 -0.11118942]  [-0.11118942  0.66024672]] [[1.07591219 1.54969268]  [1.54969268 2.87777357]] [[1.47451125 0.45202209]  [0.45202209 0.97240439]] [[0.82621419 0.17608247]  [0.17608247 1.39736243]] [[1.25639673 0.76123944]  [0.76123944 1.16657331]],5,"{0: 134, 1: 38, 2: 524, 3: 596, 4: 0, 5: 108}",2,2,0
111,1000.0,11,350,3000,6,True,0.270427026214532,0.6436764118142141,5,5,[2.37913284 2.89229879] [2.10854887 0.6418584 ] [1.6658665  4.06155028] [0.55197338 0.77053387] [1.58278345 1.44289288],[0.09487763 0.26655731 0.44529813 0.00076474 0.12810939 0.06439279],[[ 0.99679312 -0.26747597]  [-0.26747597  0.62449138]] [[0.72346617 0.26246256]  [0.26246256 1.2857781 ]] [[1.52925667 0.53486425]  [0.53486425 1.53248898]] [[0.64147077 0.17093181]  [0.17093181 1.16691439]] [[0.26586856 0.28907102]  [0.28907102 1.00208152]],5,"{0: 70, 1: 408, 2: 696, 3: 0, 4: 176, 5: 50}",2,0,2
112,1000.0,12,350,3000,6,True,0.2308484493481939,0.4463156933624338,5,5,[0.61527815 1.35204204] [1.96085442 0.93952944] [2.49955092 4.01301882] [-0.96156623  1.70701549] [1.3006741  4.01726692],[0.14783737 0.3468229  0.26992259 0.0119865  0.22266738 0.00076326],[[0.3873843  0.06966739]  [0.06966739 2.03696602]] [[1.00469826 0.13585722]  [0.13585722 1.1395198 ]] [[1.05144133 0.15528244]  [0.15528244 2.31931819]] [[2.34801634 0.53328393]  [0.53328393 2.4211832 ]] [[ 0.84828356 -0.04090757]  [-0.04090757  0.66977526]],5,"{0: 206, 1: 514, 2: 324, 3: 8, 4: 348, 5: 0}",4,1,3
113,1000.0,13,350,3000,6,True,0.2289397061265403,0.44942239904049497,6,6,[2.6693307  1.61134553] [2.96328241 5.05449432] [1.5094568  0.93066226] [0.49829397 3.21567369] [2.02480617 4.29530995] [0.07342709 1.19911541],[0.19143052 0.0258172  0.28995249 0.10834511 0.28876954 0.09568513],[[0.43660598 0.24159445]  [0.24159445 3.09868955]] [[ 2.57341752 -1.44995479]  [-1.44995479  3.84246361]] [[1.24901622 0.77255713]  [0.77255713 1.0876465 ]] [[ 0.27374004 -0.0430874 ]  [-0.0430874   1.19191854]] [[0.80583879 0.43948715]  [0.43948715 0.94554451]] [[ 1.21847171 -0.56852502]  [-0.56852502  2.84116994]],6,"{0: 252, 1: 18, 2: 450, 3: 172, 4: 440, 5: 68}",4,1,3
114,1000.0,14,350,3000,6,True,0.17895543658931773,0.303750743429352,6,6,[2.80087105 2.85034806] [0.45830668 0.64461832] [1.38508076 4.35325896] [2.0512235  0.52188298] [1.63840223 1.5910386 ] [2.35347747 4.07489462],[0.13779453 0.15526595 0.26887147 0.2013136  0.1183009  0.11845356],[[0.74849457 0.09264399]  [0.09264399 0.5358563 ]] [[ 0.51693667 -0.00420951]  [-0.00420951  2.23046813]] [[0.96720732 0.34095495]  [0.34095495 1.19090729]] [[1.04915733 0.15811172]  [0.15811172 0.83836809]] [[ 0.50593771 -0.40282512]  [-0.40282512  0.80708379]] [[0.97655769 0.95675109]  [0.95675109 1.54486682]],6,"{0: 198, 1: 208, 2: 404, 3: 282, 4: 184, 5: 124}",3,1,2
115,1000.0,15,350,3000,6,True,0.25090012414208074,0.5529964853657681,4,4,[0.87665465 3.68546307] [0.52405036 1.1823393 ] [2.33771418 4.37239359] [1.96281421 0.96683805],[0.21140806 0.1136207  0.26640087 0.00076527 0.00076473 0.40704037],[[0.93084337 0.07483606]  [0.07483606 0.69675386]] [[0.81174286 0.35023014]  [0.35023014 0.86846674]] [[1.06116106 0.084765  ]  [0.084765   1.25028352]] [[1.31408658 0.43392227]  [0.43392227 1.38538278]],4,"{0: 308, 1: 128, 2: 352, 3: 0, 4: 0, 5: 612}",2,1,1
