,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
38,0.16666666666666666,18,300,1000,6,True,0.011226741838347912,0.06786936164990688,4,4,[2.45692784 1.88403169] [0.9004847 2.4135118] [1.50212078 0.36779301] [3.77332134 2.53164795],[3.78541228e-01 3.28298459e-01 1.40795941e-01 8.86484719e-04 1.51360623e-01 1.17263248e-04],[[ 0.54769349 -0.5352868 ]  [-0.5352868   2.4554277 ]] [[0.73338505 0.38416908]  [0.38416908 2.10748873]] [[0.10187937 0.04085739]  [0.04085739 1.43370181]] [[ 0.68204352 -0.00810606]  [-0.00810606  2.66934881]],4,"{0: 492, 1: 374, 2: 180, 3: 0, 4: 154, 5: 0}",3,0,2
39,0.16666666666666666,19,300,1000,6,True,0.1633052323286614,0.9151403754015359,2,2,[2.02335773 1.05957382] [1.93165911 3.10106865],[8.95990486e-04 4.65987713e-01 6.68421332e-02 4.66138688e-01 1.18542425e-04 1.69322259e-05],[[1.50507266 0.04744183]  [0.04744183 1.31472796]] [[1.49495354 0.08706072]  [0.08706072 1.35705009]],3,"{0: 0, 1: 604, 2: 0, 3: 596, 4: 0, 5: 0}",0,0,0
40,1.0,0,300,1000,6,True,-0.0009124400011115386,-0.0005508700918133281,3,3,[2.8185844  1.98435453] [-0.22835228  1.61731149] [1.18460423 2.15165976],[4.74483065e-01 8.94939894e-04 4.46553870e-02 4.79323110e-01 4.30578493e-04 2.12920112e-04],[[0.68912322 0.13646647]  [0.13646647 2.3123268 ]] [[ 1.86509579 -0.24200373]  [-0.24200373  1.78013922]] [[ 0.51362061 -0.015416  ]  [-0.015416    2.62644972]],3,"{0: 552, 1: 0, 2: 26, 3: 622, 4: 0, 5: 0}",3,0,3
41,1.0,1,300,1000,6,True,0.1361125629214127,0.4832253119986445,3,3,[1.34749771 2.24499699] [1.96135245 1.2409162 ] [2.2359546  3.29204297],[2.31140947e-01 5.10936253e-01 2.57170841e-01 4.31714807e-04 2.13770735e-04 1.06473355e-04],[[ 0.94117584 -0.73379682]  [-0.73379682  2.46880129]] [[1.61063727 0.00677586]  [0.00677586 1.52000136]] [[ 0.78489945 -0.01254308]  [-0.01254308  0.99690586]],3,"{0: 132, 1: 742, 2: 326, 3: 0, 4: 0, 5: 0}",0,0,0
42,1.0,2,300,1000,6,True,0.1380038686212443,0.4890488812743176,3,3,[2.70536561 2.7631942 ] [2.30566038 0.76130255] [1.21639699 2.70207124],[1.95580870e-01 4.29282349e-01 3.74384096e-01 4.32127322e-04 2.13980195e-04 1.06578630e-04],[[0.89189241 0.33879822]  [0.33879822 0.81837589]] [[1.43515066 0.34248625]  [0.34248625 1.26758531]] [[0.81390075 0.30872334]  [0.30872334 2.28922556]],3,"{0: 216, 1: 540, 2: 444, 3: 0, 4: 0, 5: 0}",1,0,0
43,1.0,3,300,1000,6,True,0.027904782959132932,0.034318898745644213,4,4,[1.29669243 2.14397761] [2.15776806 1.83000004] [2.33979696 3.81579721] [3.70743552 1.71137927],[0.44561753 0.31659911 0.00089139 0.000888   0.10094174 0.13506223],[[1.21249103 0.21064817]  [0.21064817 2.66552032]] [[0.58954135 0.10259496]  [0.10259496 1.81299336]] [[ 0.85785948 -0.07238577]  [-0.07238577  0.60389679]] [[ 0.56107337 -0.12887074]  [-0.12887074  1.8114623 ]],4,"{0: 500, 1: 418, 2: 0, 3: 0, 4: 120, 5: 162}",3,0,1
44,1.0,4,300,1000,6,True,-0.0006600372275024733,0.005215777723960704,3,3,[1.45373197 2.16886687] [3.14574976 1.85073384] [-0.40275483  1.47502984],[5.52762935e-01 3.93832281e-01 5.26633385e-02 4.25613923e-04 2.10817264e-04 1.05014651e-04],[[ 0.55045265 -0.02611017]  [-0.02611017  2.11785389]] [[0.73333961 0.15377239]  [0.15377239 2.55629042]] [[ 0.91873886 -0.11992882]  [-0.11992882  3.33945897]],3,"{0: 714, 1: 444, 2: 42, 3: 0, 4: 0, 5: 0}",3,0,1
45,1.0,5,300,1000,6,True,0.0,0.0,1,1,[1.95304921 1.96665792],[9.99163656e-01 4.33895551e-04 2.15007385e-04 1.07171040e-04 5.35221430e-05 2.67475417e-05],[[ 1.40058978 -0.04978959]  [-0.04978959  2.45638671]],1,"{0: 1200, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
46,1.0,6,300,1000,6,True,0.07990977910135898,0.2562161591628359,2,2,[2.18141569 3.48310655] [1.92164199 1.44998146],[2.61649176e-01 7.37542344e-01 4.33361184e-04 2.14701018e-04 1.06995448e-04 5.34232994e-05],[[1.52231497 0.00682952]  [0.00682952 1.0147633 ]] [[1.49746914 0.06483175]  [0.06483175 1.96154255]],2,"{0: 296, 1: 904, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
47,1.0,7,300,1000,6,True,0.06018783780696005,0.2125179269065872,5,5,[-0.28317358  1.45437329] [1.94196808 1.27077486] [2.40865917 3.06127323] [0.61093866 1.52025772] [3.21302592 0.94310547],[0.01151965 0.3365504  0.26392801 0.00089146 0.23583505 0.15127542],[[2.06949037 0.17719122]  [0.17719122 1.16511492]] [[ 0.15067098 -0.02587427]  [-0.02587427  1.83354404]] [[ 0.93317555 -0.11273713]  [-0.11273713  1.20577726]] [[ 0.32744519 -0.05355996]  [-0.05355996  2.03331421]] [[ 0.45574672 -0.03194888]  [-0.03194888  1.34231016]],5,"{0: 8, 1: 444, 2: 296, 3: 0, 4: 290, 5: 162}",6,0,6
48,1.0,8,300,1000,6,True,0.12675461745243186,0.4461788106746528,5,5,[3.52214013 1.92223258] [1.57016701 0.67689942] [1.49759087 3.68949878] [2.49733745 1.15673086] [2.32685881 2.63555065],[0.00089616 0.09097334 0.33879075 0.29389601 0.11025523 0.16518851],[[ 0.97040975 -0.29501261]  [-0.29501261  0.89996113]] [[ 1.36645729 -0.25453785]  [-0.25453785  1.24629621]] [[1.19210115 0.23387092]  [0.23387092 1.00390996]] [[ 0.60378256 -0.26628167]  [-0.26628167  0.38278859]] [[1.18607876 0.34548219]  [0.34548219 0.32756401]],5,"{0: 0, 1: 72, 2: 378, 3: 330, 4: 150, 5: 270}",3,0,3
