,Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits,RandomGroup
1073,context,1.6e-07,358,300,3000,6,True,0.4356206347989927,0.798244081902962,4,4,[2.74429705 3.55268798] [ 1.89435449 -0.05052148] [0.52159378 4.77671762] [1.53673305 5.09372616],[0.02845497 0.5005442  0.00089342 0.13293786 0.0008893  0.33628025],[[0.49206115 0.11963497]  [0.11963497 1.15913286]] [[ 1.06227922 -0.11310872]  [-0.11310872  0.89291289]] [[ 0.35783807 -0.18105695]  [-0.18105695  0.87099449]] [[0.40021478 0.00812106]  [0.00812106 0.73137201]],4,"{0: 20, 1: 604, 2: 0, 3: 140, 4: 0, 5: 436}",1,1,0,5
1074,base,1.6e-07,359,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[1.3375961  4.95043706] [ 1.33790963 -0.04374257],[8.99535693e-04 5.03309209e-01 8.99511845e-04 8.95398090e-04 4.93996345e-01 1.32443423e-10],[[0.56362478 0.06220681]  [0.06220681 0.78892022]] [[0.56935083 0.06267316]  [0.06267316 0.71097113]],2,"{0: 0, 1: 604, 2: 0, 3: 0, 4: 596, 5: 0}",0,0,0,2
1075,contextless,1.6e-07,359,300,3000,6,True,0.4894105955176762,0.9741111907426556,3,3,[1.34088576 4.96608357] [1.30599522 1.99808409] [ 2.54458434 -0.09415264],[0.00088834 0.4977663  0.00088595 0.00088436 0.02255958 0.47701548],[[0.56834047 0.05644494]  [0.05644494 0.77070934]] [[ 0.29056357 -0.2642012 ]  [-0.2642012   1.61650761]] [[0.5580206  0.05890746]  [0.05890746 0.63412336]],3,"{0: 0, 1: 602, 2: 0, 3: 0, 4: 16, 5: 582}",0,0,0,2
1076,context,1.6e-07,359,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[1.33763031 4.94634652] [ 1.92273443 -0.04691493],[8.98677986e-04 8.98885655e-04 5.03653939e-01 4.94548498e-01 1.32777339e-10 2.12443711e-17],[[0.56356692 0.06103355]  [0.06103355 0.79924395]] [[0.92221058 0.0305716 ]  [0.0305716  0.70481418]],2,"{0: 0, 1: 0, 2: 604, 3: 596, 4: 0, 5: 0}",0,0,0,2
1077,base,1.6e-07,360,300,3000,6,True,0.4142937149140034,0.7083762110027694,4,4,[1.16010678 5.05878392] [0.06874532 0.37074501] [ 1.02156425 -0.04155362] [2.09271022 0.11900947],[0.00088763 0.50065641 0.08840699 0.00088426 0.26817212 0.14099258],[[0.70107478 0.00732553]  [0.00732553 0.73423652]] [[0.2837644  0.26106227]  [0.26106227 0.88802714]] [[0.22843835 0.05271782]  [0.05271782 0.64130954]] [[ 0.21457817 -0.10781428]  [-0.10781428  0.81539792]],4,"{0: 0, 1: 600, 2: 92, 3: 0, 4: 338, 5: 170}",3,0,3,3
1078,contextless,1.6e-07,360,300,3000,6,True,0.4960389968041097,1.0,2,2,[2.33800423 0.06323657] [1.16054843 5.05313054],[4.98582470e-01 5.01417530e-01 1.33001442e-10 2.12802283e-17 3.40483607e-24 5.44773692e-31],[[ 0.71904667 -0.03538559]  [-0.03538559  0.70645394]] [[0.70059953 0.00347007]  [0.00347007 0.74684539]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,3
1079,context,1.6e-07,360,300,3000,6,True,0.4993736951983298,0.9933388889506688,2,2,[1.74759895 0.06457785] [1.16038981 5.05512741],[4.98823337e-01 8.95539484e-04 8.92190773e-04 8.90572695e-04 4.98498360e-01 1.32340468e-10],[[ 1.05899461 -0.01500898]  [-0.01500898  0.70927144]] [[0.70047538 0.00518558]  [0.00518558 0.74215967]],2,"{0: 600, 1: 0, 2: 0, 3: 0, 4: 600, 5: 0}",0,0,0,3
1080,base,1.6e-07,361,300,3000,6,True,0.4903386851754472,0.9646472511000858,3,3,[ 1.2429021  -0.03558651] [5.28149554e-05 4.42587114e+00] [1.34330108 4.99139707],[5.00275510e-01 3.74900750e-02 4.62234415e-01 1.32761943e-10 2.12419080e-17 3.39870478e-24],[[0.77490009 0.03319202]  [0.03319202 0.71333258]] [[ 0.45679274 -0.49995348]  [-0.49995348  1.26309823]] [[0.66404216 0.01983886]  [0.01983886 0.6699259 ]],3,"{0: 600, 1: 22, 2: 578, 3: 0, 4: 0, 5: 0}",1,1,0,1
1081,contextless,1.6e-07,361,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 2.42598041 -0.03550834] [1.24351161 4.9549542 ],[5.00461093e-01 4.99538907e-01 1.33000613e-10 2.12800956e-17 3.40481485e-24 5.44770296e-31],[[ 0.77281961 -0.00461951]  [-0.00461951  0.71190953]] [[0.77539095 0.02813292]  [0.02813292 0.7108654 ]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
1082,context,1.6e-07,361,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 1.83425763 -0.03457669] [1.24303896 4.95605547],[5.00598187e-01 8.97432148e-04 8.96913432e-04 4.97607468e-01 1.32558071e-10 2.12092882e-17],[[1.12290346 0.01372879]  [0.01372879 0.71426713]] [[0.77512876 0.03062765]  [0.03062765 0.70867832]],2,"{0: 600, 1: 0, 2: 0, 3: 600, 4: 0, 5: 0}",0,0,0,1
