,Concentration,Mean ARI,Mean height ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Mean nasal splits,Stdev nasal splits,Samples,MaxCats
4,100.0,0.2573316182319899,0.5507671183812887,0.03283869688668413,1.0,4.75,0.9937303457175896,3000,20,1.05,1.16081867662439,300,6
5,1000.0,0.24022919185616085,0.4947013697455221,0.03997753402297539,1.0,4.95,0.9205976319760985,3000,20,1.1,1.1022703842524302,300,6
6,10000.0,0.23395041803146935,0.4800775216333041,0.04245387139516618,1.0,5.0,0.9486832980505138,3000,20,1.075,1.0697546447667334,300,6
7,100000.0,0.2335464752567241,0.4804258212712878,0.043200336181425714,1.0,5.0,0.9486832980505138,3000,20,1.05,1.035615758860399,300,6
0,1.6e-07,0.259112733843573,0.5775617988671142,0.04877963110421294,0.95,4.1,1.1789826122551597,1000,20,0.75,1.0781929326423914,350,6
1,0.16666666666666666,0.2590817756221719,0.5774915510580587,0.04878655413709263,0.95,4.1,1.1789826122551597,1000,20,0.75,1.0781929326423914,350,6
2,1.0,0.2592105987618475,0.5777088551063929,0.048768946252186224,0.95,4.1,1.1789826122551597,1000,20,0.75,1.0781929326423914,350,6
3,10.0,0.2582908621757472,0.5742678165284298,0.049892691636808255,0.95,4.2,1.16619037896906,1000,20,0.75,1.0547511554864493,350,6
4,100.0,0.2539817573321138,0.5638506105289253,0.050295023611054666,0.9,4.55,1.2031209415515964,1000,20,0.925,1.159471862530523,350,6
5,1000.0,0.2376963637481357,0.4886446035116103,0.04245240967659061,1.0,5.1,0.7681145747868608,1000,20,1.325,1.3944084767384342,350,6
6,10000.0,0.23002281784857265,0.4680629866724627,0.04224780714279352,0.95,5.35,0.6538348415311012,1000,20,1.45,1.4482748357960242,350,6
7,100000.0,0.2297347597484943,0.4668143260961701,0.042404628340157784,0.95,5.35,0.6538348415311012,1000,20,1.45,1.4482748357960238,350,6
0,1.6e-07,0.25914749535964543,0.5774376559844144,0.048801471698985986,1.0,4.1,1.1789826122551597,3000,20,0.75,1.0781929326423914,350,6
1,0.16666666666666666,0.25911653713824434,0.5773674081753588,0.04880841368252735,1.0,4.1,1.1789826122551597,3000,20,0.75,1.0781929326423914,350,6
2,1.0,0.25924536027791995,0.5775847122236932,0.04879072190495444,1.0,4.1,1.1789826122551597,3000,20,0.75,1.0781929326423914,350,6
3,10.0,0.2583624300727724,0.5742539791208455,0.049938323923903835,1.0,4.2,1.16619037896906,3000,20,0.75,1.0547511554864493,350,6
4,100.0,0.2543652258127109,0.564506488813684,0.05017831275829551,1.0,4.55,1.2031209415515964,3000,20,0.925,1.159471862530523,350,6
5,1000.0,0.2376963637481357,0.4886446035116103,0.04245240967659061,1.0,5.1,0.7681145747868608,3000,20,1.325,1.3944084767384342,350,6
