Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
context,1.6e-07,171,300,3000,6,True,0.47278450182058634,0.8994187937634094,3,3,[ 1.88500694 -0.04019323] [1.19189653 4.73930099] [1.33551023 5.02083832],[4.99774944e-01 1.35258245e-01 3.64966811e-01 1.32698678e-10 2.12317856e-17 3.39708521e-24],[[ 1.08933908 -0.03459927]  [-0.03459927  0.77201483]] [[ 0.15929411 -0.14372804]  [-0.14372804  1.04323492]] [[0.93574199 0.02296917]  [0.02296917 0.69660815]],3,"{0: 600, 1: 68, 2: 532, 3: 0, 4: 0, 5: 0}",0,0,0
base,1.6e-07,172,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.27384687 5.00862619] [1.28130162 0.01439999],[8.90745634e-04 4.98206300e-01 8.88339313e-04 5.00014615e-01 1.32670271e-10 2.12272402e-17],[[ 0.73808324 -0.04995016]  [-0.04995016  0.65582985]] [[ 0.73935202 -0.05308282]  [-0.05308282  0.69588217]],2,"{0: 0, 1: 598, 2: 0, 3: 602, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,172,300,3000,6,True,0.4894546146080071,0.9739332569654319,3,3,[1.41614161 0.53753721] [1.27665161 5.01169705] [ 2.52885629 -0.01139514],[3.54118200e-02 4.97043869e-01 8.82903065e-04 4.66661407e-01 1.32634945e-10 2.12215882e-17],[[ 0.97912034 -1.11907279]  [-1.11907279  2.4251779 ]] [[ 0.73830687 -0.0562896 ]  [-0.0562896   0.65155322]] [[ 0.69589735 -0.00974351]  [-0.00974351  0.59597675]],3,"{0: 16, 1: 598, 2: 0, 3: 586, 4: 0, 5: 0}",1,0,1
context,1.6e-07,172,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.86946749 0.0135521 ] [1.27386102 5.00784565],[0.50187564 0.00088738 0.00088578 0.00088418 0.00088426 0.49458277],[[ 1.10817259 -0.07832157]  [-0.07832157  0.69416942]] [[ 0.73861227 -0.0511982 ]  [-0.0511982   0.65779277]],2,"{0: 602, 1: 0, 2: 0, 3: 0, 4: 0, 5: 598}",0,0,0
base,1.6e-07,173,300,3000,6,True,0.3363150147982849,0.5158702607610101,4,4,[0.78529208 5.01576265] [ 1.71032152 -0.18122059] [1.99005307 4.81044057] [0.59648636 0.15310278],[0.29874834 0.30514632 0.00088995 0.00088792 0.20175125 0.19257621],[[0.31733675 0.07338947]  [0.07338947 0.79389236]] [[0.46768451 0.17730528]  [0.17730528 0.89131112]] [[0.33686579 0.20160981]  [0.20160981 0.90417256]] [[0.24732751 0.12117355]  [0.12117355 0.66561667]],4,"{0: 362, 1: 346, 2: 0, 3: 0, 4: 240, 5: 252}",2,1,1
contextless,1.6e-07,173,300,3000,6,True,0.3194192648844629,0.47952105003387346,5,5,[0.8928619  4.90835068] [ 1.7334574  -0.15174308] [3.17216421 0.20518429] [2.15706753 5.00106679] [ 2.36585506 -0.31079462],[0.34999061 0.18808305 0.20221454 0.00088525 0.14983228 0.10899426],[[0.37127672 0.00766145]  [0.00766145 0.84983809]] [[0.23116946 0.00228462]  [0.00228462 0.83766193]] [[ 0.3434763  -0.0639855 ]  [-0.0639855   0.58853373]] [[0.27184957 0.09179863]  [0.09179863 0.81437341]] [[ 0.19432396 -0.31082491]  [-0.31082491  1.18512944]],5,"{0: 434, 1: 244, 2: 236, 3: 0, 4: 168, 5: 118}",3,1,2
context,1.6e-07,173,300,3000,6,True,0.4300016707409805,0.7645580697838639,3,3,[0.83637828 4.96496609] [ 1.86712829 -0.05503491] [2.06444362 4.87456766],[3.23131414e-01 8.94191069e-04 4.98359883e-01 1.77614512e-01 1.32276546e-10 2.11642443e-17],[[0.34284732 0.04436239]  [0.04436239 0.82326749]] [[1.02209165 0.04637025]  [0.04637025 0.81067534]] [[0.30733312 0.16287526]  [0.16287526 0.88794656]],3,"{0: 378, 1: 0, 2: 598, 3: 224, 4: 0, 5: 0}",1,1,0
base,1.6e-07,174,300,3000,6,True,0.49937369519832986,0.9933388889506688,2,2,[1.21597972 4.951438  ] [ 1.22126044 -0.03734495],[4.99326939e-01 5.00673061e-01 1.33001115e-10 2.12801758e-17 3.40482768e-24 5.44772349e-31],[[0.7695101  0.02746647]  [0.02746647 0.79237596]] [[0.77541474 0.02755246]  [0.02755246 0.81584631]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
contextless,1.6e-07,174,300,3000,6,True,0.49272092785896543,0.980083389166357,2,2,[1.21277897 4.94229062] [ 2.39780308 -0.04465663],[5.00978126e-01 4.99021873e-01 1.33000384e-10 2.12800589e-17 3.40480898e-24 5.44769356e-31],[[0.76640797 0.03317226]  [0.03317226 0.81542037]] [[ 0.79422977 -0.02434746]  [-0.02434746  0.80193555]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
context,1.6e-07,174,300,3000,6,True,0.4960389968041097,0.9867000187944966,2,2,[1.21435056 4.95058167] [ 1.80778067 -0.0379304 ],[4.99471511e-01 5.00528489e-01 1.33001051e-10 2.12801656e-17 3.40482605e-24 5.44772088e-31],[[0.76740754 0.03021184]  [0.03021184 0.79475212]] [[ 1.13079998 -0.00202651]  [-0.00202651  0.81481782]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
