,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
20,0.16666666666666666,0,250,1000,6,True,0.5348334603248921,4,4,[3.90214929 1.05199183] [4.0216298  4.06762107] [0.94221617 0.83308296] [1.01092673 3.848465  ],[0.24710552 0.28677993 0.00107087 0.18452617 0.00106425 0.27945325],[[1.66980575 0.33659054]  [0.33659054 1.36284872]] [[1.74249074 0.51005316]  [0.51005316 1.76795597]] [[1.49305258 0.43436973]  [0.43436973 1.06485641]] [[1.36058163 0.36727115]  [0.36727115 1.74069274]],6,"{0: 244, 1: 278, 2: 0, 3: 192, 4: 0, 5: 286}",2,1,1
21,0.16666666666666666,1,250,1000,6,True,0.6376029243741538,4,4,[1.07386053 1.04899473] [4.00478385 1.22422077] [1.111255   4.00753443] [4.08450584 4.22850819],[2.27089590e-01 2.95926292e-01 2.72135760e-01 2.04686480e-01 1.41646015e-04 2.02323055e-05],[[1.09070406 0.58584254]  [0.58584254 1.33174636]] [[1.24718512 0.5676813 ]  [0.5676813  1.66567272]] [[1.26174985 0.60641656]  [0.60641656 1.70252226]] [[1.13781081 0.52921914]  [0.52921914 1.05311953]],4,"{0: 230, 1: 290, 2: 264, 3: 216, 4: 0, 5: 0}",2,1,1
22,0.16666666666666666,2,250,1000,6,True,0.4689429885467177,5,5,[0.64852529 2.63713275] [3.9084657  3.75634603] [1.03521655 3.88549882] [3.80834891 0.7027048 ] [0.70203289 0.40109803],[8.13749237e-02 3.24241386e-01 1.93828033e-01 2.49237884e-01 1.51176628e-01 1.41145142e-04],[[ 1.57286504 -0.00160515]  [-0.00160515  0.50572838]] [[1.77102031 0.32676627]  [0.32676627 1.59877127]] [[1.11402964 0.13600032]  [0.13600032 1.81410542]] [[1.91343455 0.46091685]  [0.46091685 1.12273173]] [[1.26005835 0.41744913]  [0.41744913 0.93248229]],5,"{0: 68, 1: 322, 2: 190, 3: 252, 4: 168, 5: 0}",2,1,1
23,0.16666666666666666,3,250,1000,6,True,0.5274381597941868,4,4,[3.66329981 4.1078401 ] [0.47536484 0.89113059] [3.50699723 1.16279115] [0.74920805 3.94691771],[2.65620685e-01 1.61016267e-01 3.40852998e-01 2.32348031e-01 1.41768767e-04 2.02498109e-05],[[1.90728368 0.6886016 ]  [0.6886016  1.41617026]] [[1.08701094 0.56649527]  [0.56649527 1.33186712]] [[2.10670603 0.63691502]  [0.63691502 1.70993421]] [[1.36208396 0.57918763]  [0.57918763 1.70414612]],4,"{0: 268, 1: 167, 2: 330, 3: 235, 4: 0, 5: 0}",2,1,1
24,0.16666666666666666,4,250,1000,6,True,0.5450489611039451,5,5,[0.89947486 0.99168697] [4.02085695 4.0885421 ] [0.27459325 2.70791456] [3.87040312 0.97622525] [1.06986459 4.11785395],[0.23755322 0.25580738 0.00107109 0.0506749  0.26522834 0.18966506],[[1.47867906 0.63005588]  [0.63005588 1.66724495]] [[1.46196584 0.51988633]  [0.51988633 1.58411363]] [[ 2.07014194 -0.10981935]  [-0.10981935  1.15461652]] [[1.69612146 0.59606106]  [0.59606106 1.55970608]] [[0.85348333 0.3329065 ]  [0.3329065  1.49225302]],6,"{0: 260, 1: 246, 2: 0, 3: 21, 4: 266, 5: 207}",2,1,1
25,0.16666666666666666,5,250,1000,6,True,0.5397325689649602,4,4,[4.22779628 3.85652668] [1.27108702 0.92757958] [4.2290024  0.85825542] [1.20008256 3.90737488],[0.24904638 0.29223744 0.00107281 0.17271878 0.00106442 0.28386017],[[1.10258281 0.25933756]  [0.25933756 1.7411963 ]] [[1.74557208 0.30497293]  [0.30497293 1.35581423]] [[0.94820164 0.23558312]  [0.23558312 1.22766268]] [[1.42440293 0.26574044]  [0.26574044 1.44893049]],6,"{0: 252, 1: 296, 2: 0, 3: 173, 4: 0, 5: 279}",2,1,1
26,0.16666666666666666,6,250,1000,6,True,0.4976368756226695,4,4,[3.87431042 4.06943448] [3.78972792 1.07664632] [0.88138747 3.92235929] [0.79814211 0.96308224],[2.80298402e-01 2.75530589e-01 2.22389237e-01 2.21619873e-01 1.41664149e-04 2.02348731e-05],[[1.90527748 0.35508628]  [0.35508628 1.44898328]] [[1.95572998 0.37240595]  [0.37240595 1.36772933]] [[1.36326873 0.27045522]  [0.27045522 1.34915935]] [[1.79017647 0.44264703]  [0.44264703 1.46993544]],4,"{0: 277, 1: 274, 2: 226, 3: 223, 4: 0, 5: 0}",2,1,1
27,0.16666666666666666,7,250,1000,6,True,0.6139428139977076,4,4,[4.26086472 3.97014891] [1.26705396 3.90166491] [1.14526326 0.92464883] [4.12331047 0.97711206],[1.07495410e-03 2.44104869e-01 2.58861843e-01 2.39263491e-01 2.56553188e-01 1.41654435e-04],[[1.39778998 0.44286142]  [0.44286142 1.3299614 ]] [[1.38033574 0.34910727]  [0.34910727 1.28888691]] [[1.30651398 0.38249457]  [0.38249457 1.29407786]] [[1.37321334 0.39610665]  [0.39610665 1.34197712]],5,"{0: 0, 1: 241, 2: 259, 3: 244, 4: 256, 5: 0}",2,1,1
28,0.16666666666666666,8,250,1000,6,True,0.5019016231471581,5,5,[1.00277912 4.18317093] [3.82877966 1.12193592] [3.97982189 4.18365784] [0.83713443 0.69874402] [0.8667051  2.09968164],[2.20226509e-01 2.84478838e-01 2.42015959e-01 1.68819413e-01 8.43191344e-02 1.40146518e-04],[[1.22186545 0.2509477 ]  [0.2509477  1.35122852]] [[1.63104271 0.52361551]  [0.52361551 1.75708465]] [[1.48342777 0.39620787]  [0.39620787 1.60762883]] [[1.33485233 0.59996726]  [0.59996726 1.51246688]] [[1.69040897 0.1796522 ]  [0.1796522  0.44611573]],5,"{0: 218, 1: 295, 2: 232, 3: 158, 4: 97, 5: 0}",3,1,2
29,0.16666666666666666,9,250,1000,6,True,0.5118792936592137,4,4,[1.25998784 4.28236807] [3.94712236 1.51641401] [4.19577499 4.51418139] [0.92277001 1.18823168],[2.73573687e-01 3.36061212e-01 1.47994724e-01 2.42208464e-01 1.41676292e-04 2.02366046e-05],[[1.78787988 0.50330826]  [0.50330826 1.46478806]] [[1.58699803 0.54610607]  [0.54610607 2.20795012]] [[1.15517626 0.5432354 ]  [0.5432354  1.1255476 ]] [[1.16544648 0.36399994]  [0.36399994 1.60006476]],4,"{0: 277, 1: 323, 2: 153, 3: 247, 4: 0, 5: 0}",2,1,1
