Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
0.16666666666666666,0,250,1000,6,True,0.7865709147859277,4,4,[3.9985457  1.06052827] [0.98933313 4.01147461] [1.01118696 1.01931777] [3.98081579 4.07490634],[2.47796480e-01 2.56038434e-01 2.28888726e-01 2.67114295e-01 1.41809080e-04 2.02556772e-05],[[0.83334748 0.07514832]  [0.07514832 0.71983521]] [[0.71240782 0.06918146]  [0.06918146 0.8155531 ]] [[0.74156    0.09819321]  [0.09819321 0.59293487]] [[0.85655168 0.10670731]  [0.10670731 0.85113326]],4,"{0: 250, 1: 249, 2: 234, 3: 267, 4: 0, 5: 0}",2,1,1
0.16666666666666666,1,250,1000,6,True,0.8774953333084698,5,4,[1.05429103 1.04977537] [2.45968507 5.03053547] [4.04277025 1.05167997] [4.05194316 4.04960559] [1.06030701 4.04720738],[0.25358803 0.00107103 0.00570802 0.2528145  0.24189662 0.24492181],[[0.57158371 0.1211277 ]  [0.1211277  0.69633912]] [[ 1.81090961 -0.10837695]  [-0.10837695  4.00795292]] [[0.56521068 0.11476064]  [0.11476064 0.70621852]] [[0.55794627 0.12498235]  [0.12498235 0.60840676]] [[0.56464094 0.09285023]  [0.09285023 0.63909501]],6,"{0: 248, 1: 0, 2: 3, 3: 250, 4: 249, 5: 250}",4,3,1
0.16666666666666666,2,250,1000,6,True,0.7347092193392649,4,4,[1.0101001  0.80072121] [3.98061569 3.84432777] [3.98562345 0.84990015] [0.98597726 3.77893512],[0.21391883 0.27563854 0.00106917 0.24788201 0.00106437 0.26042708],[[0.71175124 0.13969209]  [0.13969209 0.61836815]] [[0.90404568 0.09261375]  [0.09261375 0.77723964]] [[0.91685455 0.09756648]  [0.09756648 0.60176927]] [[0.74769865 0.09801519]  [0.09801519 0.98765938]],6,"{0: 223, 1: 268, 2: 0, 3: 246, 4: 0, 5: 263}",2,1,1
0.16666666666666666,3,250,1000,6,True,0.7845925013818739,4,4,[3.80080455 4.03719889] [3.75963994 1.08183565] [0.85460807 4.0446763 ] [0.78817879 1.03250909],[2.59283988e-01 2.87450421e-01 1.07042480e-03 2.37834803e-01 2.14219017e-01 1.41346385e-04],[[0.94685291 0.23895824]  [0.23895824 0.70503707]] [[1.02252692 0.17746279]  [0.17746279 0.83073088]] [[0.73524232 0.21651302]  [0.21651302 0.83303053]] [[0.59444239 0.19655729]  [0.19655729 0.73257195]],5,"{0: 255, 1: 282, 2: 0, 3: 241, 4: 222, 5: 0}",2,1,1
0.16666666666666666,4,250,1000,6,True,0.7962565531545466,4,4,[0.95638963 0.95582538] [3.98645693 3.97407834] [0.94300363 3.92590772] [3.97171465 0.97244746],[2.42869586e-01 2.57811158e-01 2.48002142e-01 2.51155084e-01 1.41778665e-04 2.02513331e-05],[[0.67517748 0.16337528]  [0.16337528 0.78435414]] [[0.73902316 0.16638166]  [0.16638166 0.83898898]] [[0.64252921 0.14540579]  [0.14540579 0.84358062]] [[0.76469592 0.15078025]  [0.15078025 0.77694367]],4,"{0: 243, 1: 258, 2: 249, 3: 250, 4: 0, 5: 0}",2,1,1
0.16666666666666666,5,250,1000,6,True,0.7922292596893383,4,4,[4.07285383 3.92912802] [1.08942301 0.9477532 ] [1.08544271 3.92458847] [4.06820004 0.96200817],[2.50874199e-01 2.58260002e-01 2.69047799e-01 2.21656060e-01 1.41699407e-04 2.02399682e-05],[[0.59366326 0.0199146 ]  [0.0199146  0.87142035]] [[0.80906589 0.0289901 ]  [0.0289901  0.68856696]] [[0.73279091 0.00781102]  [0.00781102 0.78955637]] [[0.56590793 0.00393144]  [0.00393144 0.68744946]],4,"{0: 249, 1: 257, 2: 269, 3: 225, 4: 0, 5: 0}",2,1,1
0.16666666666666666,6,250,1000,6,True,0.756691676255006,4,4,[3.95580156 4.01949738] [0.97805624 4.00198724] [3.95499061 1.04767865] [0.97807689 1.04087999],[0.26000492 0.00107349 0.23665251 0.25078822 0.00106361 0.25041724],[[0.9478256  0.04713029]  [0.04713029 0.74484647]] [[0.80214567 0.02579424]  [0.02579424 0.6928912 ]] [[0.93666621 0.04430067]  [0.04430067 0.71436667]] [[0.9338393  0.06306314]  [0.06306314 0.78333869]],6,"{0: 253, 1: 0, 2: 241, 3: 250, 4: 0, 5: 256}",2,1,1
0.16666666666666666,7,250,1000,6,True,0.8441204878839599,4,4,[1.1523197  0.98895802] [4.16486304 3.95386063] [1.17167805 3.96648043] [4.14169706 0.97208885],[2.56868058e-01 2.47453106e-01 2.45346959e-01 2.50169854e-01 1.41772901e-04 2.02504639e-05],[[0.68449983 0.07921895]  [0.07921895 0.71605475]] [[0.68505472 0.09994526]  [0.09994526 0.66109189]] [[0.68667809 0.06722463]  [0.06722463 0.62571211]] [[0.6717608  0.07320068]  [0.07320068 0.68517622]],4,"{0: 257, 1: 249, 2: 244, 3: 250, 4: 0, 5: 0}",2,1,1
0.16666666666666666,8,250,1000,6,True,0.7842167821225817,4,4,[0.95570538 4.03883584] [3.93541064 1.06178721] [3.94916926 4.02662334] [0.94953877 1.08903353],[2.36060834e-01 2.54998393e-01 2.58024674e-01 2.50754059e-01 1.41787644e-04 2.02525494e-05],[[0.65662737 0.04192015]  [0.04192015 0.83368484]] [[0.76151266 0.06706061]  [0.06706061 0.86824196]] [[0.79242936 0.07090613]  [0.07090613 0.88733009]] [[0.70112039 0.0766546 ]  [0.0766546  0.94493252]],4,"{0: 239, 1: 252, 2: 259, 3: 250, 4: 0, 5: 0}",2,1,1
0.16666666666666666,9,250,1000,6,True,0.7634177355009089,4,4,[1.00991076 4.219479  ] [4.02914998 1.26010476] [4.00164737 4.24890351] [1.0131645  1.21174667],[2.34827992e-01 2.75756711e-01 2.19858247e-01 2.69394980e-01 1.41813464e-04 2.02562880e-05],[[0.74180737 0.06736453]  [0.06736453 0.68046915]] [[0.66622054 0.07530385]  [0.07530385 1.05448525]] [[0.7013716  0.10510371]  [0.10510371 0.67393746]] [[0.65299963 0.07706738]  [0.07706738 0.9500029 ]],4,"{0: 231, 1: 273, 2: 225, 3: 271, 4: 0, 5: 0}",2,1,1
0.16666666666666666,10,250,1000,6,True,0.7817479898782322,4,4,[3.98197005 1.04807937] [1.01298433 1.06711979] [3.98580814 4.01630233] [1.0161587  4.02621995],[0.00107708 0.25879779 0.22410252 0.2903991  0.00106463 0.22455889],[[0.90886927 0.00449303]  [0.00449303 0.67423766]] [[ 0.61328592 -0.00363277]  [-0.00363277  0.73842278]] [[0.98845449 0.0213857 ]  [0.0213857  0.85803922]] [[ 0.57098961 -0.03233237]  [-0.03233237  0.78627461]],6,"{0: 0, 1: 254, 2: 228, 3: 284, 4: 0, 5: 234}",2,1,1
0.16666666666666666,11,250,1000,6,True,0.8006503526187358,4,4,[4.05133549 3.91144359] [1.01837436 0.91583103] [1.06685013 3.91717485] [4.01456642 0.92295514],[2.42243869e-01 2.48668787e-01 2.77771096e-01 2.31154264e-01 1.41737839e-04 2.02454565e-05],[[0.60944278 0.08699163]  [0.08699163 0.78830586]] [[0.74325403 0.04958917]  [0.04958917 0.60951411]] [[0.85858005 0.03257454]  [0.03257454 0.77126036]] [[0.60626558 0.05818235]  [0.05818235 0.66987534]],4,"{0: 243, 1: 249, 2: 275, 3: 233, 4: 0, 5: 0}",2,1,1
