Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,Means,Weights,NumLargeWeights
9.92290301275212e-08,13,250,1000,6,True,0.4722002242025456,3,[ 0.01413341 -0.04221926] [ 0.04889525 -0.72956322] [ 0.45067351 -1.14532157],[5.76097405e-01 3.72931256e-01 5.09713392e-02 1.89738470e-10 1.88275634e-17 1.86824071e-24],3
9.92290301275212e-08,14,250,1000,6,True,0.5174530242853181,2,[ 0.09568073 -0.6269674 ] [0.02230354 0.06054074],[5.75451753e-01 2.14329050e-03 4.22404956e-01 1.96212270e-10 1.94699522e-17 1.93198433e-24],3
9.92290301275212e-08,15,250,1000,6,True,0.43984248178313334,2,[ 0.05132197 -0.07112534] [ 0.00848563 -0.76346452],[6.24972432e-01 2.13332283e-03 3.72894245e-01 1.95969943e-10 1.94459063e-17 1.92959827e-24],3
9.92290301275212e-08,16,250,1000,6,True,0.494640589496604,2,[-0.03022589 -0.07123817] [-0.0873845  -0.76285275],[5.95098215e-01 2.13992557e-03 4.02761860e-01 1.96123172e-10 1.94611110e-17 1.93110703e-24],3
9.92290301275212e-08,17,250,1000,6,True,0.5232205454386973,2,[-0.08720515 -0.69327826] [-0.09973445  0.01591526],[5.02086140e-01 4.97913860e-01 1.97271125e-10 1.95750218e-17 1.94241032e-24 1.92743478e-31],2
9.92290301275212e-08,18,250,1000,6,True,0.1539854874992086,5,[-0.35512743 -0.0788276 ] [ 0.75076084 -0.3063643 ] [-0.20319626 -0.82251959] [-0.8850181  -0.73418225] [ 0.52586458 -0.81553252],[4.02403098e-01 2.91971838e-01 1.21431076e-01 9.39072316e-02 9.02867561e-02 1.89930096e-10],5
9.92290301275212e-08,19,250,1000,6,True,0.5059875126240414,2,[-0.06094783 -0.0625865 ] [-0.02480294 -0.74655817],[5.95691123e-01 2.13402221e-03 4.02174855e-01 1.96120363e-10 1.94608323e-17 1.93107937e-24],3
5.953741807651273e-07,0,250,1000,6,True,0.44519201712562645,2,[-0.13329197 -0.57107057] [-0.01866706  0.09042176],[6.36145356e-01 3.63854643e-01 1.18188741e-09 7.03664839e-16 4.18943631e-22 2.49428073e-28],2
5.953741807651273e-07,1,250,1000,6,True,0.5920973456470804,3,[-0.04657127 -0.67196356] [-0.73738708  0.24174344] [-0.0459483  0.0345949],[5.50871744e-01 5.77008424e-03 2.13152398e-03 2.12109038e-03 4.39105556e-01 1.16734058e-09],5
5.953741807651273e-07,2,250,1000,6,True,0.3873838876825418,3,[-0.31157477 -0.04819661] [ 0.10628349 -0.72939598] [ 0.58782545 -0.04222256],[3.85966564e-01 4.95893476e-01 2.10122389e-03 2.06324451e-03 1.13975491e-01 1.12656768e-09],5
